RobTop — модуль «Найти предмет»: пул описаний
Всего: 10000 | easy:49 medium:982 hard:4000 impossible:4969
Формат: СЛОЖНОСТЬ | EN  ||  RU  ||  LV  ||  DE
HARD        | Find something red, short and soft  ||  Найди что-нибудь красное, короткое и мягкое  ||  Atrodi kaut ko sarkanu, īsu un mīkstu  ||  Finde etwas Rotes, Kurzes und Weiches
HARD        | Find something short, transparent and spotted  ||  Найди что-нибудь короткое, прозрачное и пятнистое  ||  Atrodi kaut ko īsu, caurspīdīgu un raibu  ||  Finde etwas Kurzes, Durchsichtiges und Gepunktetes
HARD        | Find something yellow, small and fluffy  ||  Найди что-нибудь жёлтое, маленькое и пушистое  ||  Atrodi kaut ko dzeltenu, mazu un pūkainu  ||  Finde etwas Gelbes, Kleines und Flauschiges
HARD        | Find something black, soft and plain  ||  Найди что-нибудь чёрное, мягкое и однотонное  ||  Atrodi kaut ko melnu, mīkstu un vienkrāsainu  ||  Finde etwas Schwarzes, Weiches und Einfarbiges
HARD        | Find something wide, dry and sparkly  ||  Найди что-нибудь широкое, сухое и сверкающее  ||  Atrodi kaut ko platu, sausu un mirdzošu  ||  Finde etwas Breites, Trockenes und Funkelndes
HARD        | Find something blue, flat and matte  ||  Найди что-нибудь синее, плоское и матовое  ||  Atrodi kaut ko zilu, plakanu un matētu  ||  Finde etwas Blaues, Flaches und Mattes
HARD        | Find something thin, soft and light  ||  Найди что-нибудь тонкое, мягкое и лёгкое  ||  Atrodi kaut ko plānu, mīkstu un vieglu  ||  Finde etwas Duennes, Weiches und Leichtes
HARD        | Find something thick, transparent and cold  ||  Найди что-нибудь толстое, прозрачное и холодное  ||  Atrodi kaut ko biezu, caurspīdīgu un aukstu  ||  Finde etwas Dickes, Durchsichtiges und Kaltes
HARD        | Find something silver, square and fluffy  ||  Найди что-нибудь серебряное, квадратное и пушистое  ||  Atrodi kaut ko sudrabainu, kvadrātisku un pūkainu  ||  Finde etwas Silbernes, Quadratisches und Flauschiges
HARD        | Find something orange, fluffy and matte  ||  Найди что-нибудь оранжевое, пушистое и матовое  ||  Atrodi kaut ko oranžu, pūkainu un matētu  ||  Finde etwas Oranges, Flauschiges und Mattes
HARD        | Find something golden, oval and narrow  ||  Найди что-нибудь золотое, овальное и узкое  ||  Atrodi kaut ko zeltainu, ovālu un šauru  ||  Finde etwas Goldenes, Ovales und Schmales
HARD        | Find something orange, round and heavy  ||  Найди что-нибудь оранжевое, круглое и тяжёлое  ||  Atrodi kaut ko oranžu, apaļu un smagu  ||  Finde etwas Oranges, Rundes und Schweres
HARD        | Find something short, hard and plain  ||  Найди что-нибудь короткое, твёрдое и однотонное  ||  Atrodi kaut ko īsu, cietu un vienkrāsainu  ||  Finde etwas Kurzes, Hartes und Einfarbiges
HARD        | Find something red, square and light  ||  Найди что-нибудь красное, квадратное и лёгкое  ||  Atrodi kaut ko sarkanu, kvadrātisku un vieglu  ||  Finde etwas Rotes, Quadratisches und Leichtes
HARD        | Find something oval, soft and heavy  ||  Найди что-нибудь овальное, мягкое и тяжёлое  ||  Atrodi kaut ko ovālu, mīkstu un smagu  ||  Finde etwas Ovales, Weiches und Schweres
HARD        | Find something big, soft and matte  ||  Найди что-нибудь большое, мягкое и матовое  ||  Atrodi kaut ko lielu, mīkstu un matētu  ||  Finde etwas Grosses, Weiches und Mattes
HARD        | Find something oval, tiny and striped  ||  Найди что-нибудь овальное, крошечное и полосатое  ||  Atrodi kaut ko ovālu, sīku un svītrainu  ||  Finde etwas Ovales, Winziges und Gestreiftes
HARD        | Find something grey, huge and plain  ||  Найди что-нибудь серое, огромное и однотонное  ||  Atrodi kaut ko pelēku, milzīgu un vienkrāsainu  ||  Finde etwas Graues, Riesiges und Einfarbiges
HARD        | Find something light blue, rough and spotted  ||  Найди что-нибудь голубое, шершавое и пятнистое  ||  Atrodi kaut ko gaišzilu, raupju un raibu  ||  Finde etwas Hellblaues, Raues und Gepunktetes
HARD        | Find something long, tiny and dry  ||  Найди что-нибудь длинное, крошечное и сухое  ||  Atrodi kaut ko garu, sīku un sausu  ||  Finde etwas Langes, Winziges und Trockenes
HARD        | Find something light blue, thick and wet  ||  Найди что-нибудь голубое, толстое и мокрое  ||  Atrodi kaut ko gaišzilu, biezu un slapju  ||  Finde etwas Hellblaues, Dickes und Nasses
HARD        | Find something grey, thick and shiny  ||  Найди что-нибудь серое, толстое и блестящее  ||  Atrodi kaut ko pelēku, biezu un spīdīgu  ||  Finde etwas Graues, Dickes und Glaenzendes
HARD        | Find something yellow, pointy and smooth  ||  Найди что-нибудь жёлтое, острое и гладкое  ||  Atrodi kaut ko dzeltenu, asu un gludu  ||  Finde etwas Gelbes, Spitzes und Glattes
HARD        | Find something green, flat and tiny  ||  Найди что-нибудь зелёное, плоское и крошечное  ||  Atrodi kaut ko zaļu, plakanu un sīku  ||  Finde etwas Gruenes, Flaches und Winziges
HARD        | Find something black, square and big  ||  Найди что-нибудь чёрное, квадратное и большое  ||  Atrodi kaut ko melnu, kvadrātisku un lielu  ||  Finde etwas Schwarzes, Quadratisches und Grosses
HARD        | Find something orange, long and matte  ||  Найди что-нибудь оранжевое, длинное и матовое  ||  Atrodi kaut ko oranžu, garu un matētu  ||  Finde etwas Oranges, Langes und Mattes
HARD        | Find something flat, tiny and light  ||  Найди что-нибудь плоское, крошечное и лёгкое  ||  Atrodi kaut ko plakanu, sīku un vieglu  ||  Finde etwas Flaches, Winziges und Leichtes
HARD        | Find something red, wet and warm  ||  Найди что-нибудь красное, мокрое и тёплое  ||  Atrodi kaut ko sarkanu, slapju un siltu  ||  Finde etwas Rotes, Nasses und Warmes
HARD        | Find something round, transparent and striped  ||  Найди что-нибудь круглое, прозрачное и полосатое  ||  Atrodi kaut ko apaļu, caurspīdīgu un svītrainu  ||  Finde etwas Rundes, Durchsichtiges und Gestreiftes
HARD        | Find something yellow, flat and narrow  ||  Найди что-нибудь жёлтое, плоское и узкое  ||  Atrodi kaut ko dzeltenu, plakanu un šauru  ||  Finde etwas Gelbes, Flaches und Schmales
HARD        | Find something thick, tiny and light  ||  Найди что-нибудь толстое, крошечное и лёгкое  ||  Atrodi kaut ko biezu, sīku un vieglu  ||  Finde etwas Dickes, Winziges und Leichtes
HARD        | Find something orange, sticky and transparent  ||  Найди что-нибудь оранжевое, липкое и прозрачное  ||  Atrodi kaut ko oranžu, lipīgu un caurspīdīgu  ||  Finde etwas Oranges, Klebriges und Durchsichtiges
HARD        | Find something sticky, sparkly and spotted  ||  Найди что-нибудь липкое, сверкающее и пятнистое  ||  Atrodi kaut ko lipīgu, mirdzošu un raibu  ||  Finde etwas Klebriges, Funkelndes und Gepunktetes
HARD        | Find something green, big and heavy  ||  Найди что-нибудь зелёное, большое и тяжёлое  ||  Atrodi kaut ko zaļu, lielu un smagu  ||  Finde etwas Gruenes, Grosses und Schweres
HARD        | Find something white, round and dry  ||  Найди что-нибудь белое, круглое и сухое  ||  Atrodi kaut ko baltu, apaļu un sausu  ||  Finde etwas Weisses, Rundes und Trockenes
HARD        | Find something green, flat and rough  ||  Найди что-нибудь зелёное, плоское и шершавое  ||  Atrodi kaut ko zaļu, plakanu un raupju  ||  Finde etwas Gruenes, Flaches und Raues
HARD        | Find something yellow, square and cold  ||  Найди что-нибудь жёлтое, квадратное и холодное  ||  Atrodi kaut ko dzeltenu, kvadrātisku un aukstu  ||  Finde etwas Gelbes, Quadratisches und Kaltes
HARD        | Find something flat, warm and spotted  ||  Найди что-нибудь плоское, тёплое и пятнистое  ||  Atrodi kaut ko plakanu, siltu un raibu  ||  Finde etwas Flaches, Warmes und Gepunktetes
HARD        | Find something dry, sparkly and striped  ||  Найди что-нибудь сухое, сверкающее и полосатое  ||  Atrodi kaut ko sausu, mirdzošu un svītrainu  ||  Finde etwas Trockenes, Funkelndes und Gestreiftes
HARD        | Find something short, dry and light  ||  Найди что-нибудь короткое, сухое и лёгкое  ||  Atrodi kaut ko īsu, sausu un vieglu  ||  Finde etwas Kurzes, Trockenes und Leichtes
HARD        | Find something curved, hard and warm  ||  Найди что-нибудь изогнутое, твёрдое и тёплое  ||  Atrodi kaut ko izliektu, cietu un siltu  ||  Finde etwas Gebogenes, Hartes und Warmes
HARD        | Find something curved, rough and shiny  ||  Найди что-нибудь изогнутое, шершавое и блестящее  ||  Atrodi kaut ko izliektu, raupju un spīdīgu  ||  Finde etwas Gebogenes, Raues und Glaenzendes
HARD        | Find something silver, pointy and tiny  ||  Найди что-нибудь серебряное, острое и крошечное  ||  Atrodi kaut ko sudrabainu, asu un sīku  ||  Finde etwas Silbernes, Spitzes und Winziges
HARD        | Find something grey, long and sticky  ||  Найди что-нибудь серое, длинное и липкое  ||  Atrodi kaut ko pelēku, garu un lipīgu  ||  Finde etwas Graues, Langes und Klebriges
HARD        | Find something yellow, pointy and warm  ||  Найди что-нибудь жёлтое, острое и тёплое  ||  Atrodi kaut ko dzeltenu, asu un siltu  ||  Finde etwas Gelbes, Spitzes und Warmes
HARD        | Find something white, pointy and small  ||  Найди что-нибудь белое, острое и маленькое  ||  Atrodi kaut ko baltu, asu un mazu  ||  Finde etwas Weisses, Spitzes und Kleines
HARD        | Find something rough, transparent and heavy  ||  Найди что-нибудь шершавое, прозрачное и тяжёлое  ||  Atrodi kaut ko raupju, caurspīdīgu un smagu  ||  Finde etwas Raues, Durchsichtiges und Schweres
HARD        | Find something light blue, square and wide  ||  Найди что-нибудь голубое, квадратное и широкое  ||  Atrodi kaut ko gaišzilu, kvadrātisku un platu  ||  Finde etwas Hellblaues, Quadratisches und Breites
HARD        | Find something flat, huge and sparkly  ||  Найди что-нибудь плоское, огромное и сверкающее  ||  Atrodi kaut ko plakanu, milzīgu un mirdzošu  ||  Finde etwas Flaches, Riesiges und Funkelndes
HARD        | Find something yellow, thin and smooth  ||  Найди что-нибудь жёлтое, тонкое и гладкое  ||  Atrodi kaut ko dzeltenu, plānu un gludu  ||  Finde etwas Gelbes, Duennes und Glattes
HARD        | Find something orange, round and fluffy  ||  Найди что-нибудь оранжевое, круглое и пушистое  ||  Atrodi kaut ko oranžu, apaļu un pūkainu  ||  Finde etwas Oranges, Rundes und Flauschiges
HARD        | Find something sticky, matte and striped  ||  Найди что-нибудь липкое, матовое и полосатое  ||  Atrodi kaut ko lipīgu, matētu un svītrainu  ||  Finde etwas Klebriges, Mattes und Gestreiftes
HARD        | Find something pink, curved and wet  ||  Найди что-нибудь розовое, изогнутое и мокрое  ||  Atrodi kaut ko rozā, izliektu un slapju  ||  Finde etwas Rosa, Gebogenes und Nasses
HARD        | Find something silver, pointy and sticky  ||  Найди что-нибудь серебряное, острое и липкое  ||  Atrodi kaut ko sudrabainu, asu un lipīgu  ||  Finde etwas Silbernes, Spitzes und Klebriges
HARD        | Find something wide, wet and sparkly  ||  Найди что-нибудь широкое, мокрое и сверкающее  ||  Atrodi kaut ko platu, slapju un mirdzošu  ||  Finde etwas Breites, Nasses und Funkelndes
HARD        | Find something black, long and hard  ||  Найди что-нибудь чёрное, длинное и твёрдое  ||  Atrodi kaut ko melnu, garu un cietu  ||  Finde etwas Schwarzes, Langes und Hartes
HARD        | Find something white, flat and heavy  ||  Найди что-нибудь белое, плоское и тяжёлое  ||  Atrodi kaut ko baltu, plakanu un smagu  ||  Finde etwas Weisses, Flaches und Schweres
HARD        | Find something yellow, oval and plain  ||  Найди что-нибудь жёлтое, овальное и однотонное  ||  Atrodi kaut ko dzeltenu, ovālu un vienkrāsainu  ||  Finde etwas Gelbes, Ovales und Einfarbiges
HARD        | Find something light blue, big and soft  ||  Найди что-нибудь голубое, большое и мягкое  ||  Atrodi kaut ko gaišzilu, lielu un mīkstu  ||  Finde etwas Hellblaues, Grosses und Weiches
HARD        | Find something shiny, heavy and striped  ||  Найди что-нибудь блестящее, тяжёлое и полосатое  ||  Atrodi kaut ko spīdīgu, smagu un svītrainu  ||  Finde etwas Glaenzendes, Schweres und Gestreiftes
HARD        | Find something green, rough and warm  ||  Найди что-нибудь зелёное, шершавое и тёплое  ||  Atrodi kaut ko zaļu, raupju un siltu  ||  Finde etwas Gruenes, Raues und Warmes
HARD        | Find something small, heavy and plain  ||  Найди что-нибудь маленькое, тяжёлое и однотонное  ||  Atrodi kaut ko mazu, smagu un vienkrāsainu  ||  Finde etwas Kleines, Schweres und Einfarbiges
HARD        | Find something orange, thick and rough  ||  Найди что-нибудь оранжевое, толстое и шершавое  ||  Atrodi kaut ko oranžu, biezu un raupju  ||  Finde etwas Oranges, Dickes und Raues
HARD        | Find something huge, sticky and transparent  ||  Найди что-нибудь огромное, липкое и прозрачное  ||  Atrodi kaut ko milzīgu, lipīgu un caurspīdīgu  ||  Finde etwas Riesiges, Klebriges und Durchsichtiges
HARD        | Find something purple, big and hard  ||  Найди что-нибудь фиолетовое, большое и твёрдое  ||  Atrodi kaut ko violetu, lielu un cietu  ||  Finde etwas Lila, Grosses und Hartes
HARD        | Find something light blue, dry and spotted  ||  Найди что-нибудь голубое, сухое и пятнистое  ||  Atrodi kaut ko gaišzilu, sausu un raibu  ||  Finde etwas Hellblaues, Trockenes und Gepunktetes
HARD        | Find something golden, round and soft  ||  Найди что-нибудь золотое, круглое и мягкое  ||  Atrodi kaut ko zeltainu, apaļu un mīkstu  ||  Finde etwas Goldenes, Rundes und Weiches
HARD        | Find something purple, short and hard  ||  Найди что-нибудь фиолетовое, короткое и твёрдое  ||  Atrodi kaut ko violetu, īsu un cietu  ||  Finde etwas Lila, Kurzes und Hartes
HARD        | Find something big, fluffy and transparent  ||  Найди что-нибудь большое, пушистое и прозрачное  ||  Atrodi kaut ko lielu, pūkainu un caurspīdīgu  ||  Finde etwas Grosses, Flauschiges und Durchsichtiges
HARD        | Find something black, pointy and wet  ||  Найди что-нибудь чёрное, острое и мокрое  ||  Atrodi kaut ko melnu, asu un slapju  ||  Finde etwas Schwarzes, Spitzes und Nasses
HARD        | Find something curved, tiny and transparent  ||  Найди что-нибудь изогнутое, крошечное и прозрачное  ||  Atrodi kaut ko izliektu, sīku un caurspīdīgu  ||  Finde etwas Gebogenes, Winziges und Durchsichtiges
HARD        | Find something black, wide and transparent  ||  Найди что-нибудь чёрное, широкое и прозрачное  ||  Atrodi kaut ko melnu, platu un caurspīdīgu  ||  Finde etwas Schwarzes, Breites und Durchsichtiges
HARD        | Find something black, matte and plain  ||  Найди что-нибудь чёрное, матовое и однотонное  ||  Atrodi kaut ko melnu, matētu un vienkrāsainu  ||  Finde etwas Schwarzes, Mattes und Einfarbiges
HARD        | Find something green, big and plain  ||  Найди что-нибудь зелёное, большое и однотонное  ||  Atrodi kaut ko zaļu, lielu un vienkrāsainu  ||  Finde etwas Gruenes, Grosses und Einfarbiges
HARD        | Find something tiny, wet and matte  ||  Найди что-нибудь крошечное, мокрое и матовое  ||  Atrodi kaut ko sīku, slapju un matētu  ||  Finde etwas Winziges, Nasses und Mattes
HARD        | Find something blue, wet and sparkly  ||  Найди что-нибудь синее, мокрое и сверкающее  ||  Atrodi kaut ko zilu, slapju un mirdzošu  ||  Finde etwas Blaues, Nasses und Funkelndes
HARD        | Find something pointy, small and plain  ||  Найди что-нибудь острое, маленькое и однотонное  ||  Atrodi kaut ko asu, mazu un vienkrāsainu  ||  Finde etwas Spitzes, Kleines und Einfarbiges
HARD        | Find something oval, wide and warm  ||  Найди что-нибудь овальное, широкое и тёплое  ||  Atrodi kaut ko ovālu, platu un siltu  ||  Finde etwas Ovales, Breites und Warmes
HARD        | Find something white, thin and sticky  ||  Найди что-нибудь белое, тонкое и липкое  ||  Atrodi kaut ko baltu, plānu un lipīgu  ||  Finde etwas Weisses, Duennes und Klebriges
HARD        | Find something black, square and light  ||  Найди что-нибудь чёрное, квадратное и лёгкое  ||  Atrodi kaut ko melnu, kvadrātisku un vieglu  ||  Finde etwas Schwarzes, Quadratisches und Leichtes
HARD        | Find something red, oval and cold  ||  Найди что-нибудь красное, овальное и холодное  ||  Atrodi kaut ko sarkanu, ovālu un aukstu  ||  Finde etwas Rotes, Ovales und Kaltes
HARD        | Find something black, transparent and cold  ||  Найди что-нибудь чёрное, прозрачное и холодное  ||  Atrodi kaut ko melnu, caurspīdīgu un aukstu  ||  Finde etwas Schwarzes, Durchsichtiges und Kaltes
HARD        | Find something grey, wide and shiny  ||  Найди что-нибудь серое, широкое и блестящее  ||  Atrodi kaut ko pelēku, platu un spīdīgu  ||  Finde etwas Graues, Breites und Glaenzendes
HARD        | Find something brown, round and hard  ||  Найди что-нибудь коричневое, круглое и твёрдое  ||  Atrodi kaut ko brūnu, apaļu un cietu  ||  Finde etwas Braunes, Rundes und Hartes
HARD        | Find something pink, dry and plain  ||  Найди что-нибудь розовое, сухое и однотонное  ||  Atrodi kaut ko rozā, sausu un vienkrāsainu  ||  Finde etwas Rosa, Trockenes und Einfarbiges
HARD        | Find something golden, flat and small  ||  Найди что-нибудь золотое, плоское и маленькое  ||  Atrodi kaut ko zeltainu, plakanu un mazu  ||  Finde etwas Goldenes, Flaches und Kleines
HARD        | Find something long, sparkly and plain  ||  Найди что-нибудь длинное, сверкающее и однотонное  ||  Atrodi kaut ko garu, mirdzošu un vienkrāsainu  ||  Finde etwas Langes, Funkelndes und Einfarbiges
HARD        | Find something golden, oval and soft  ||  Найди что-нибудь золотое, овальное и мягкое  ||  Atrodi kaut ko zeltainu, ovālu un mīkstu  ||  Finde etwas Goldenes, Ovales und Weiches
HARD        | Find something big, shiny and light  ||  Найди что-нибудь большое, блестящее и лёгкое  ||  Atrodi kaut ko lielu, spīdīgu un vieglu  ||  Finde etwas Grosses, Glaenzendes und Leichtes
HARD        | Find something blue, transparent and plain  ||  Найди что-нибудь синее, прозрачное и однотонное  ||  Atrodi kaut ko zilu, caurspīdīgu un vienkrāsainu  ||  Finde etwas Blaues, Durchsichtiges und Einfarbiges
HARD        | Find something pink, wet and striped  ||  Найди что-нибудь розовое, мокрое и полосатое  ||  Atrodi kaut ko rozā, slapju un svītrainu  ||  Finde etwas Rosa, Nasses und Gestreiftes
HARD        | Find something oval, narrow and plain  ||  Найди что-нибудь овальное, узкое и однотонное  ||  Atrodi kaut ko ovālu, šauru un vienkrāsainu  ||  Finde etwas Ovales, Schmales und Einfarbiges
HARD        | Find something grey, long and smooth  ||  Найди что-нибудь серое, длинное и гладкое  ||  Atrodi kaut ko pelēku, garu un gludu  ||  Finde etwas Graues, Langes und Glattes
HARD        | Find something pink, wide and wet  ||  Найди что-нибудь розовое, широкое и мокрое  ||  Atrodi kaut ko rozā, platu un slapju  ||  Finde etwas Rosa, Breites und Nasses
HARD        | Find something grey, thick and transparent  ||  Найди что-нибудь серое, толстое и прозрачное  ||  Atrodi kaut ko pelēku, biezu un caurspīdīgu  ||  Finde etwas Graues, Dickes und Durchsichtiges
HARD        | Find something grey, curved and warm  ||  Найди что-нибудь серое, изогнутое и тёплое  ||  Atrodi kaut ko pelēku, izliektu un siltu  ||  Finde etwas Graues, Gebogenes und Warmes
HARD        | Find something red, thin and spotted  ||  Найди что-нибудь красное, тонкое и пятнистое  ||  Atrodi kaut ko sarkanu, plānu un raibu  ||  Finde etwas Rotes, Duennes und Gepunktetes
HARD        | Find something short, heavy and striped  ||  Найди что-нибудь короткое, тяжёлое и полосатое  ||  Atrodi kaut ko īsu, smagu un svītrainu  ||  Finde etwas Kurzes, Schweres und Gestreiftes
HARD        | Find something yellow, heavy and plain  ||  Найди что-нибудь жёлтое, тяжёлое и однотонное  ||  Atrodi kaut ko dzeltenu, smagu un vienkrāsainu  ||  Finde etwas Gelbes, Schweres und Einfarbiges
HARD        | Find something big, matte and light  ||  Найди что-нибудь большое, матовое и лёгкое  ||  Atrodi kaut ko lielu, matētu un vieglu  ||  Finde etwas Grosses, Mattes und Leichtes
HARD        | Find something pointy, big and wet  ||  Найди что-нибудь острое, большое и мокрое  ||  Atrodi kaut ko asu, lielu un slapju  ||  Finde etwas Spitzes, Grosses und Nasses
HARD        | Find something brown, sticky and matte  ||  Найди что-нибудь коричневое, липкое и матовое  ||  Atrodi kaut ko brūnu, lipīgu un matētu  ||  Finde etwas Braunes, Klebriges und Mattes
HARD        | Find something blue, wet and matte  ||  Найди что-нибудь синее, мокрое и матовое  ||  Atrodi kaut ko zilu, slapju un matētu  ||  Finde etwas Blaues, Nasses und Mattes
HARD        | Find something light blue, square and fluffy  ||  Найди что-нибудь голубое, квадратное и пушистое  ||  Atrodi kaut ko gaišzilu, kvadrātisku un pūkainu  ||  Finde etwas Hellblaues, Quadratisches und Flauschiges
HARD        | Find something pointy, huge and sticky  ||  Найди что-нибудь острое, огромное и липкое  ||  Atrodi kaut ko asu, milzīgu un lipīgu  ||  Finde etwas Spitzes, Riesiges und Klebriges
HARD        | Find something pink, thin and hard  ||  Найди что-нибудь розовое, тонкое и твёрдое  ||  Atrodi kaut ko rozā, plānu un cietu  ||  Finde etwas Rosa, Duennes und Hartes
HARD        | Find something long, huge and wet  ||  Найди что-нибудь длинное, огромное и мокрое  ||  Atrodi kaut ko garu, milzīgu un slapju  ||  Finde etwas Langes, Riesiges und Nasses
HARD        | Find something black, long and light  ||  Найди что-нибудь чёрное, длинное и лёгкое  ||  Atrodi kaut ko melnu, garu un vieglu  ||  Finde etwas Schwarzes, Langes und Leichtes
HARD        | Find something tiny, shiny and striped  ||  Найди что-нибудь крошечное, блестящее и полосатое  ||  Atrodi kaut ko sīku, spīdīgu un svītrainu  ||  Finde etwas Winziges, Glaenzendes und Gestreiftes
HARD        | Find something purple, shiny and striped  ||  Найди что-нибудь фиолетовое, блестящее и полосатое  ||  Atrodi kaut ko violetu, spīdīgu un svītrainu  ||  Finde etwas Lila, Glaenzendes und Gestreiftes
HARD        | Find something thick, heavy and spotted  ||  Найди что-нибудь толстое, тяжёлое и пятнистое  ||  Atrodi kaut ko biezu, smagu un raibu  ||  Finde etwas Dickes, Schweres und Gepunktetes
HARD        | Find something blue, thin and fluffy  ||  Найди что-нибудь синее, тонкое и пушистое  ||  Atrodi kaut ko zilu, plānu un pūkainu  ||  Finde etwas Blaues, Duennes und Flauschiges
HARD        | Find something wide, hard and transparent  ||  Найди что-нибудь широкое, твёрдое и прозрачное  ||  Atrodi kaut ko platu, cietu un caurspīdīgu  ||  Finde etwas Breites, Hartes und Durchsichtiges
HARD        | Find something wide, sticky and transparent  ||  Найди что-нибудь широкое, липкое и прозрачное  ||  Atrodi kaut ko platu, lipīgu un caurspīdīgu  ||  Finde etwas Breites, Klebriges und Durchsichtiges
HARD        | Find something flat, smooth and spotted  ||  Найди что-нибудь плоское, гладкое и пятнистое  ||  Atrodi kaut ko plakanu, gludu un raibu  ||  Finde etwas Flaches, Glattes und Gepunktetes
HARD        | Find something soft, heavy and spotted  ||  Найди что-нибудь мягкое, тяжёлое и пятнистое  ||  Atrodi kaut ko mīkstu, smagu un raibu  ||  Finde etwas Weiches, Schweres und Gepunktetes
HARD        | Find something brown, oval and sticky  ||  Найди что-нибудь коричневое, овальное и липкое  ||  Atrodi kaut ko brūnu, ovālu un lipīgu  ||  Finde etwas Braunes, Ovales und Klebriges
HARD        | Find something flat, heavy and spotted  ||  Найди что-нибудь плоское, тяжёлое и пятнистое  ||  Atrodi kaut ko plakanu, smagu un raibu  ||  Finde etwas Flaches, Schweres und Gepunktetes
HARD        | Find something sticky, transparent and warm  ||  Найди что-нибудь липкое, прозрачное и тёплое  ||  Atrodi kaut ko lipīgu, caurspīdīgu un siltu  ||  Finde etwas Klebriges, Durchsichtiges und Warmes
HARD        | Find something long, wide and shiny  ||  Найди что-нибудь длинное, широкое и блестящее  ||  Atrodi kaut ko garu, platu un spīdīgu  ||  Finde etwas Langes, Breites und Glaenzendes
HARD        | Find something pink, thin and small  ||  Найди что-нибудь розовое, тонкое и маленькое  ||  Atrodi kaut ko rozā, plānu un mazu  ||  Finde etwas Rosa, Duennes und Kleines
HARD        | Find something flat, wide and hard  ||  Найди что-нибудь плоское, широкое и твёрдое  ||  Atrodi kaut ko plakanu, platu un cietu  ||  Finde etwas Flaches, Breites und Hartes
HARD        | Find something golden, big and matte  ||  Найди что-нибудь золотое, большое и матовое  ||  Atrodi kaut ko zeltainu, lielu un matētu  ||  Finde etwas Goldenes, Grosses und Mattes
HARD        | Find something golden, pointy and heavy  ||  Найди что-нибудь золотое, острое и тяжёлое  ||  Atrodi kaut ko zeltainu, asu un smagu  ||  Finde etwas Goldenes, Spitzes und Schweres
HARD        | Find something light blue, rough and plain  ||  Найди что-нибудь голубое, шершавое и однотонное  ||  Atrodi kaut ko gaišzilu, raupju un vienkrāsainu  ||  Finde etwas Hellblaues, Raues und Einfarbiges
HARD        | Find something brown, fluffy and spotted  ||  Найди что-нибудь коричневое, пушистое и пятнистое  ||  Atrodi kaut ko brūnu, pūkainu un raibu  ||  Finde etwas Braunes, Flauschiges und Gepunktetes
HARD        | Find something green, thin and heavy  ||  Найди что-нибудь зелёное, тонкое и тяжёлое  ||  Atrodi kaut ko zaļu, plānu un smagu  ||  Finde etwas Gruenes, Duennes und Schweres
HARD        | Find something red, square and shiny  ||  Найди что-нибудь красное, квадратное и блестящее  ||  Atrodi kaut ko sarkanu, kvadrātisku un spīdīgu  ||  Finde etwas Rotes, Quadratisches und Glaenzendes
HARD        | Find something grey, shiny and plain  ||  Найди что-нибудь серое, блестящее и однотонное  ||  Atrodi kaut ko pelēku, spīdīgu un vienkrāsainu  ||  Finde etwas Graues, Glaenzendes und Einfarbiges
HARD        | Find something thick, fluffy and spotted  ||  Найди что-нибудь толстое, пушистое и пятнистое  ||  Atrodi kaut ko biezu, pūkainu un raibu  ||  Finde etwas Dickes, Flauschiges und Gepunktetes
HARD        | Find something light blue, hard and matte  ||  Найди что-нибудь голубое, твёрдое и матовое  ||  Atrodi kaut ko gaišzilu, cietu un matētu  ||  Finde etwas Hellblaues, Hartes und Mattes
HARD        | Find something short, tiny and dry  ||  Найди что-нибудь короткое, крошечное и сухое  ||  Atrodi kaut ko īsu, sīku un sausu  ||  Finde etwas Kurzes, Winziges und Trockenes
HARD        | Find something pink, sparkly and cold  ||  Найди что-нибудь розовое, сверкающее и холодное  ||  Atrodi kaut ko rozā, mirdzošu un aukstu  ||  Finde etwas Rosa, Funkelndes und Kaltes
HARD        | Find something purple, round and wide  ||  Найди что-нибудь фиолетовое, круглое и широкое  ||  Atrodi kaut ko violetu, apaļu un platu  ||  Finde etwas Lila, Rundes und Breites
HARD        | Find something short, rough and plain  ||  Найди что-нибудь короткое, шершавое и однотонное  ||  Atrodi kaut ko īsu, raupju un vienkrāsainu  ||  Finde etwas Kurzes, Raues und Einfarbiges
HARD        | Find something brown, small and cold  ||  Найди что-нибудь коричневое, маленькое и холодное  ||  Atrodi kaut ko brūnu, mazu un aukstu  ||  Finde etwas Braunes, Kleines und Kaltes
HARD        | Find something square, wide and spotted  ||  Найди что-нибудь квадратное, широкое и пятнистое  ||  Atrodi kaut ko kvadrātisku, platu un raibu  ||  Finde etwas Quadratisches, Breites und Gepunktetes
HARD        | Find something light blue, thick and matte  ||  Найди что-нибудь голубое, толстое и матовое  ||  Atrodi kaut ko gaišzilu, biezu un matētu  ||  Finde etwas Hellblaues, Dickes und Mattes
HARD        | Find something silver, square and light  ||  Найди что-нибудь серебряное, квадратное и лёгкое  ||  Atrodi kaut ko sudrabainu, kvadrātisku un vieglu  ||  Finde etwas Silbernes, Quadratisches und Leichtes
HARD        | Find something purple, thin and sparkly  ||  Найди что-нибудь фиолетовое, тонкое и сверкающее  ||  Atrodi kaut ko violetu, plānu un mirdzošu  ||  Finde etwas Lila, Duennes und Funkelndes
HARD        | Find something black, flat and spotted  ||  Найди что-нибудь чёрное, плоское и пятнистое  ||  Atrodi kaut ko melnu, plakanu un raibu  ||  Finde etwas Schwarzes, Flaches und Gepunktetes
